Date,Bodyweight,Weekly Average
1435708800000,242.0,
1436140740000,,242.0
1437523200000,235.0,
1437955140000,,235.0
1438041600000,229.0,
1438214400000,228.0,
1438559940000,,228.5
1438646400000,225.0,
1439164740000,,225.0
1440547200000,220.0,
1440979140000,,220.0
1441238400000,219.0,
1441583940000,,219.0
1441843200000,217.0,
1442188740000,,217.0
1442793600000,212.0,
1442966400000,213.0,
1443052800000,211.0,
1443178800000,212.0,
1443283200000,215.0,
1443384000000,216.0,
1443398340000,,213.2
1443456000000,217.0,
1443542400000,217.0,
1443628800000,217.0,
1443708000000,216.0,
1443794400000,216.0,
1443886200000,216.0,
1443952800000,214.0,
1443974400000,216.0,
1444003140000,,216.1
1444053600000,212.0,
1444082400000,214.0,
1444125600000,210.0,
1444140000000,211.0,
1444161600000,214.0,
1444215600000,210.0,
1444233600000,212.0,
1444255200000,212.0,
1444302000000,210.0,
1444320000000,214.0,
1444388400000,210.0,
1444492800000,210.0,
1444586400000,210.0,
1444607940000,,211.5
1444651200000,212.0,
1444676400000,214.0,
1444734000000,210.0,
1444820400000,209.0,
1444838400000,213.0,
1444906800000,208.0,
1445025600000,210.0,
1445112000000,213.0,
1445173200000,210.0,
1445212740000,,211.0
1445252400000,206.0,
1445284800000,210.0,
1445338800000,208.0,
1445425200000,209.0,
1445461200000,212.0,
1445508000000,209.0,
1445529600000,209.0,
1445554800000,211.0,
1445601600000,210.8,
1445720400000,211.0,
1445769000000,210.0,
1445792400000,211.0,
1445817540000,,209.7
1445864400000,209.0,
1445943600000,210.6,
1446037200000,207.0,
1446069600000,209.0,
1446116400000,206.0,
1446134400000,208.0,
1446156000000,208.0,
1446202800000,206.5,
1446289200000,209.0,
1446321600000,212.0,
1446378000000,209.5,
1446422340000,,208.6
1446458400000,210.0,
1446480000000,210.0,
1446557400000,210.0,
1446651000000,210.0,
1446667200000,210.0,
1446721200000,207.6,
1446729540000,207.0,
1446804000000,208.0,
1446894000000,208.0,
1446907740000,209.5,
1446980400000,208.0,
1446980400000,210.0,
1447016400000,208.0,
1447027140000,,208.9
1447158780000,205.0,
1447233900000,205.5,
1447275600000,208.0,
1447340400000,207.0,
1447444800000,209.0,
1447514100000,209.0,
1447610400000,208.5,
1447631940000,,207.4
1447681560000,205.5,
1447761060000,205.0,
1447779960000,206.0,
1447855980000,205.0,
1447937280000,204.0,
1448025960000,204.0,
1448044020000,205.0,
1448111400000,207.0,
1448197200000,205.5,
1448216760000,207.0,
1448236740000,,205.4
1448292840000,206.5,
1448371320000,203.0,
1448400360000,206.8,
1448455920000,203.0,
1448464980000,206.0,
1448490900000,206.0,
1448547960000,205.0,
1448632020000,207.0,
1448717700000,206.0,
1448841540000,,205.5
1448890920000,202.0,
1448921820000,204.0,
1448969640000,202.0,
1449052320000,204.0,
1449153120000,201.0,
1449225480000,202.5,
1449269160000,208.5,
1449407220000,208.5,
1449446340000,,204.1
